latitude,longitude,altitude,geometry,English Name,Latitude,Longitude,Nom en français,Station ID
60.7196861111,-135.058683333,,Point,Steele Street Station,60.7196861111,-135.058683333,Steele Street Station,119004
62.452084,-114.364031,,Point,Yellowknife,62.452084,-114.364031,Yellowknife,129003
65.279676,-126.812887,,Point,Norman Wells,65.279676,-126.812887,Norman Wells,129102
68.356994,-133.714063,,Point,Inuvik,68.356994,-133.714063,Inuvik,129203
63.751619,-68.522433,,Point,Waterlab,63.751619,-68.522433,Waterlab,129303
67.82536,-115.09475,,Point,Kugluktuk,67.82536,-115.09475,Kugluktuk,129310
61.106911,-94.058691,,Point,Arviat,61.106911,-94.058691,Arviat,129320
63.50861,-116.00777,,Point,Snare Rapids,63.50861,-116.00777,Snare Rapids,129501
60.004486,-111.893377,,Point,Fort Smith,60.004486,-111.893377,Fort Smith,129601
60.1465,-113.63769,,Point,Wood Buffalo,60.1465,-113.63769,Wood Buffalo,129602
